"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", -9, 0, 0, 2, -7
"c:\Users\jingc\Documents\8番出口\server\onlineCpuRunner.test.ts", "TypeScript", 260, 0, 0, 42, 302
"c:\Users\jingc\Documents\8番出口\server\onlineCpuRunner.ts", "TypeScript", 530, 0, 0, 118, 648
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 116, 0, 12, 128
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 118, 0, 0, 118
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 76, 0, -1, 75
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 183, 0, 0, 26, 209
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 14, 0, 0, 0, 14
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 114, 0, 0, 0, 114
"Total", "-", 1092, 310, 0, 199, 1601
