"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 314, 0, 0, 0, 20, 334
"c:\Users\jingc\Documents\8番出口\server\onlineCpuRunner.test.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\Users\jingc\Documents\8番出口\server\onlineCpuRunner.ts", "TypeScript", 31, 0, 0, 0, 1, 32
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 116, 0, 9, 125
"c:\Users\jingc\Documents\8番出口\src\components\MoreGameScreen.test.tsx", "TypeScript JSX", 0, 0, 36, 0, 5, 41
"c:\Users\jingc\Documents\8番出口\src\components\MoreGameScreen.tsx", "TypeScript JSX", 0, 0, 90, 0, 8, 98
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 0, 380, 0, 43, 423
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 414, 0, 14, 428
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, -20, 0, -1, -21
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 59, 0, 0, 0, 8, 67
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 195, 0, 0, 32, 227
"Total", "-", 418, 195, 1017, 0, 142, 1772
