"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 378, 0, 23, 401
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 368, 0, 40, 62, 470
"Total", "-", 368, 378, 40, 85, 871
