"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\ManualScreen.tsx", "TypeScript JSX", 0, 347, 0, 37, 384
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 151, 0, 0, 24, 175
"Total", "-", 151, 347, 0, 61, 559
