"filename", "language", "TypeScript", "Log", "JSON", "PostCSS", "JSON with Comments", "TypeScript JSX", "JavaScript", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 76
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 116
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 112
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 1687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 1871
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 2012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 2201
"c:\Users\jingc\Documents\8番出口\src\game\masterCpu.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.test.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 83
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 221
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 185
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 171
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 183
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 213
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 193
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 103
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 702
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 167
"c:\Users\jingc\Documents\8番出口\src\sim\headlessCpuDriver.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 599
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\jingc\Documents\8番出口\src\sim\seededRandom.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 542
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 818
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 162
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 5354, 0, 0, 0, 0, 0, 6, 771, 6131
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 310
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\jingc\Documents\8番出口\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\8番出口\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jingc\Documents\8番出口\vite-5173.log", "Log", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\jingc\Documents\8番出口\vite-dev.out.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jingc\Documents\8番出口\vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 9273, 6, 2219, 5354, 22, 6366, 16, 12, 28, 158, 2597, 26051
