"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 44, 0, 1, 45
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 6, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts", "TypeScript", 5, 0, 0, 1, 6
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 101, 0, 0, 13, 114
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 79, 0, 0, 10, 89
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 6, 0, 0, 0, 6
"Total", "-", 198, 44, 0, 27, 269
