"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 199, 0, 0, 0, 199
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 4, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 205, 0, 24, 229
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 1187, 14, 11, 1212
"c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts", "TypeScript", 4, 0, 0, 2, 6
"c:\Users\jingc\Documents\8番出口\src\game\deck.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 947, 0, 9, -4, 952
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 20, 0, 0, 3, 23
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\online\playerView.test.ts", "TypeScript", 20, 0, 0, 3, 23
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 15, 0, 0, 1, 16
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 700, 0, 0, 0, 700
"c:\Users\jingc\Documents\8番出口\tests\online-effect-7.spec.ts", "TypeScript", 3, 0, 0, 0, 3
"c:\Users\jingc\Documents\8番出口\tests\online-effect-j.spec.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\tests\online-human-stability.spec.ts", "TypeScript", 7, 0, 0, 0, 7
"c:\Users\jingc\Documents\8番出口\tests\online-next-round.spec.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\tests\online-player-assignment.spec.ts", "TypeScript", 35, 0, 0, 7, 42
"c:\Users\jingc\Documents\8番出口\tests\online-round-security.spec.ts", "TypeScript", 4, 0, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\tests\online-socket-helpers.ts", "TypeScript", 4, 0, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\tests\online-start.spec.ts", "TypeScript", -26, 0, 0, -6, -32
"Total", "-", 1937, 1396, 23, 41, 3397
