"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 91, 0, 8, 99
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 58, 0, 7, 65
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 168, 0, 17, 185
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", -1, 0, 0, -1
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 155, 0, 23, 178
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 27, 0, 3, 30
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 56, 0, 4, 60
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", -1, 0, 0, -1
"Total", "-", 553, 0, 62, 615
