"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\HandView.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 383, 151, 28, 562
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 51, 0, 0, 0, 6, 57
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 71, 0, 0, 0, 5, 76
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 144, 0, 0, 21, 165
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 27, 0, 0, 0, 1, 28
"Total", "-", 149, 144, 387, 151, 61, 892
