"filename", "language", "PostCSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\App.tsx", "TypeScript JSX", 0, 0, 115, 0, 6, 121
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 16
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 10
"c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts", "TypeScript", 0, 46, 0, 0, 10, 56
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 51, 0, 0, 0, 7, 58
"Total", "-", 51, 63, 141, 0, 25, 280
