"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\server\index.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 121, 0, 15, 136
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 108, 0, 4, 112
"c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx", "TypeScript JSX", 0, -4, 0, -4, -8
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 7, 0, 0, 0, 7
"c:\Users\jingc\Documents\8番出口\tests\online-effect-7.spec.ts", "TypeScript", 5, 0, 0, 1, 6
"c:\Users\jingc\Documents\8番出口\tests\online-effect-q.spec.ts", "TypeScript", 5, 0, 0, 0, 5
"Total", "-", 20, 225, 0, 16, 261
