Date : 2026-06-06 04:02:42
Directory : c:\Users\jingc\Documents\8番出口
Total : 79 files,  25994 codes, 158 comments, 2778 blanks, all 28930 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\jingc\Documents\8番出口\src\components\RoomSelectScreen.tsx          | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\jingc\Documents\8番出口\src\components\StartScreen.test.tsx          | TypeScript JSX     |        232 |          0 |         54 |        286 |
| c:\Users\jingc\Documents\8番出口\src\components\StartScreen.tsx               | TypeScript JSX     |        421 |          0 |         35 |        456 |
| c:\Users\jingc\Documents\8番出口\src\data\avatars.ts                          | TypeScript         |         26 |          0 |          4 |         30 |
| c:\Users\jingc\Documents\8番出口\src\game\cpu.ts                              | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts                    | TypeScript         |        493 |          0 |         92 |        585 |
| c:\Users\jingc\Documents\8番出口\src\game\cpuModelRegistry.ts                 | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\jingc\Documents\8番出口\src\game\cpuTypes.ts                         | TypeScript         |         40 |          0 |          6 |         46 |
| c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts                       | TypeScript         |        286 |          0 |         46 |        332 |
| c:\Users\jingc\Documents\8番出口\src\game\deck.test.ts                        | TypeScript         |         58 |          0 |         18 |         76 |
| c:\Users\jingc\Documents\8番出口\src\game\deck.ts                             | TypeScript         |        103 |          0 |         13 |        116 |
| c:\Users\jingc\Documents\8番出口\src\game\easyCpu.ts                          | TypeScript         |         93 |          0 |         19 |        112 |
| c:\Users\jingc\Documents\8番出口\src\game\gameState.test.ts                   | TypeScript         |      2,064 |          0 |        224 |      2,288 |
| c:\Users\jingc\Documents\8番出口\src\game\gameState.ts                        | TypeScript         |      2,172 |          0 |        199 |      2,371 |
| c:\Users\jingc\Documents\8番出口\src\game\masterCpu.ts                        | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.test.ts          | TypeScript         |         80 |          0 |          9 |         89 |
| c:\Users\jingc\Documents\8番出口\src\game\masterRankEstimate.ts               | TypeScript         |         69 |          0 |         14 |         83 |
| c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts                  | TypeScript         |        184 |          0 |         37 |        221 |
| c:\Users\jingc\Documents\8番出口\src\game\matchState.ts                       | TypeScript         |        166 |          0 |         19 |        185 |
| c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts                   | TypeScript         |        161 |          0 |         10 |        171 |
| c:\Users\jingc\Documents\8番出口\src\game\rules.ts                            | TypeScript         |        146 |          0 |         37 |        183 |
| c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts                     | TypeScript         |        190 |          0 |         23 |        213 |
| c:\Users\jingc\Documents\8番出口\src\game\scoring.ts                          | TypeScript         |        156 |          0 |         37 |        193 |
| c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts                      | TypeScript         |         86 |          0 |         17 |        103 |
| c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts                      | TypeScript         |        622 |          0 |         80 |        702 |
| c:\Users\jingc\Documents\8番出口\src\main.tsx                                 | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\jingc\Documents\8番出口\src\online\client.ts                         | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\jingc\Documents\8番出口\src\online\playerView.ts                     | TypeScript         |         90 |          0 |          8 |         98 |
| c:\Users\jingc\Documents\8番出口\src\online\types.ts                          | TypeScript         |         69 |          0 |         12 |         81 |
| c:\Users\jingc\Documents\8番出口\src\sim\cli.ts                               | TypeScript         |        195 |          0 |         10 |        205 |
| c:\Users\jingc\Documents\8番出口\src\sim\headlessCpuDriver.ts                 | TypeScript         |         84 |          0 |          9 |         93 |
| c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts                     | TypeScript         |        524 |          0 |         75 |        599 |
| c:\Users\jingc\Documents\8番出口\src\sim\scenario.ts                          | TypeScript         |         63 |          0 |          5 |         68 |
| c:\Users\jingc\Documents\8番出口\src\sim\seededRandom.ts                      | TypeScript         |         28 |          0 |          3 |         31 |
| c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts                    | TypeScript         |        635 |          0 |         72 |        707 |
| c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts                         | TypeScript         |      1,074 |          0 |         67 |      1,141 |
| c:\Users\jingc\Documents\8番出口\src\sim\types.ts                             | TypeScript         |        214 |          0 |         13 |        227 |
| c:\Users\jingc\Documents\8番出口\src\styles.css                               | PostCSS            |      5,354 |          6 |        771 |      6,131 |
| c:\Users\jingc\Documents\8番出口\src\test\setup.ts                            | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\jingc\Documents\8番出口\src\types.ts                                 | TypeScript         |        304 |          0 |         19 |        323 |
| c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts                            | TypeScript         |          0 |          1 |          0 |          1 |
| c:\Users\jingc\Documents\8番出口\tsconfig.json                                | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\jingc\Documents\8番出口\tsconfig.node.json                           | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\jingc\Documents\8番出口\vite-5173.log                                | Log                |          6 |          0 |          5 |         11 |
| c:\Users\jingc\Documents\8番出口\vite-dev.out.log                             | Log                |          0 |          0 |          1 |          1 |
| c:\Users\jingc\Documents\8番出口\vite.config.ts                               | TypeScript         |          9 |          0 |          2 |         11 |
| Total                                                                      |                    |     25,994 |        158 |      2,778 |     28,930 |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
