"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\ManualScreen.tsx", "TypeScript JSX", 0, 33, 0, 1, 34
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 152, 0, 0, 23, 175
"Total", "-", 152, 33, 0, 24, 209
