"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\cpuModel.test.ts", "TypeScript", 70, 0, 13, 83
"c:\Users\jingc\Documents\8番出口\src\game\daifugoCpu.ts", "TypeScript", 41, 0, 7, 48
"c:\Users\jingc\Documents\8番出口\src\game\gameState.ts", "TypeScript", 17, 0, 1, 18
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 3, 0, 0, 3
"Total", "-", 133, 0, 21, 154
