"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.tsx", "TypeScript JSX", 0, 82, 0, 5, 87
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 344, 0, 49, 65, 458
"Total", "-", 344, 82, 49, 70, 545
