"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\components\ManualScreen.tsx", "TypeScript JSX", 0, 101, 0, 0, 101
"c:\Users\jingc\Documents\8番出口\src\components\PlayScreen.test.tsx", "TypeScript JSX", 0, 5, 0, -1, 4
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 42, 0, 0, 9, 51
"Total", "-", 42, 106, 0, 8, 156
